,date,positive_sentiment,stock
554,2020-11-19,0,ASII
555,2020-11-18,0,ASII
556,2020-11-17,1,ASII
557,2020-11-16,1,ASII
558,2020-11-13,1,ASII
559,2020-11-12,1,ASII
560,2020-11-11,1,ASII
561,2020-11-10,0,ASII
562,2020-11-09,1,ASII
563,2020-11-06,1,ASII
564,2020-11-05,1,ASII
565,2020-11-04,1,ASII
566,2020-11-03,1,ASII
567,2020-11-02,1,ASII
568,2020-10-27,0,ASII
569,2020-10-26,1,ASII
570,2020-10-23,1,ASII
571,2020-10-22,0,ASII
572,2020-10-21,1,ASII
573,2020-10-20,1,ASII
574,2020-10-19,1,ASII
575,2020-10-16,0,ASII
576,2020-10-15,1,ASII
577,2020-10-14,1,ASII
578,2020-10-13,0,ASII
579,2020-10-12,1,ASII
580,2020-10-09,1,ASII
581,2020-10-08,1,ASII
582,2020-10-07,0,ASII
583,2020-10-06,1,ASII
584,2020-10-05,0,ASII
585,2020-10-02,1,ASII
586,2020-10-01,0,ASII
587,2020-09-30,0,ASII
588,2020-09-29,0,ASII
589,2020-09-28,1,ASII
590,2020-09-25,0,ASII
591,2020-09-24,0,ASII
592,2020-09-23,1,ASII
593,2020-09-22,0,ASII
594,2020-09-21,0,ASII
595,2020-09-18,1,ASII
596,2020-09-17,0,ASII
597,2020-09-16,0,ASII
598,2020-09-15,1,ASII
599,2020-09-14,1,ASII
600,2020-09-11,0,ASII
601,2020-09-10,0,ASII
602,2020-09-09,0,ASII
603,2020-09-08,0,ASII
604,2020-09-07,0,ASII
605,2020-09-04,0,ASII
606,2020-09-03,1,ASII
607,2020-09-02,1,ASII
608,2020-09-01,0,ASII
609,2020-08-31,1,ASII
610,2020-08-28,0,ASII
611,2020-08-27,0,ASII
612,2020-08-26,1,ASII
613,2020-08-25,1,ASII
614,2020-08-24,0,ASII
615,2020-08-19,1,ASII
616,2020-08-18,0,ASII
617,2020-08-14,0,ASII
618,2020-08-13,1,ASII
619,2020-08-12,1,ASII
620,2020-08-11,0,ASII
621,2020-08-10,1,ASII
622,2020-08-07,1,ASII
623,2020-08-06,1,ASII
624,2020-08-05,1,ASII
625,2020-08-04,0,ASII
626,2020-08-03,1,ASII
627,2020-07-30,0,ASII
628,2020-07-29,0,ASII
629,2020-07-28,1,ASII
630,2020-07-27,0,ASII
631,2020-07-24,0,ASII
632,2020-07-23,0,ASII
633,2020-07-22,1,ASII
634,2020-07-21,0,ASII
635,2020-07-20,0,ASII
636,2020-07-17,1,ASII
637,2020-07-16,1,ASII
638,2020-07-15,1,ASII
639,2020-07-14,1,ASII
640,2020-07-13,0,ASII
641,2020-07-10,0,ASII
642,2020-07-09,1,ASII
643,2020-07-08,0,ASII
644,2020-07-07,1,ASII
645,2020-07-06,0,ASII
646,2020-07-03,1,ASII
647,2020-07-02,1,ASII
648,2020-07-01,0,ASII
649,2020-06-30,0,ASII
650,2020-06-29,0,ASII
651,2020-06-26,1,ASII
652,2020-06-25,0,ASII
653,2020-06-24,1,ASII
654,2020-06-23,0,ASII
655,2020-06-22,1,ASII
656,2020-06-19,0,ASII
657,2020-06-18,0,ASII
658,2020-06-17,1,ASII
659,2020-06-16,0,ASII
660,2020-06-15,1,ASII
661,2020-06-12,0,ASII
662,2020-06-11,0,ASII
663,2020-06-10,0,ASII
664,2020-06-09,0,ASII
665,2020-06-08,1,ASII
666,2020-06-05,0,ASII
667,2020-06-04,1,ASII
668,2020-06-03,0,ASII
669,2020-06-02,1,ASII
670,2020-05-29,1,ASII
671,2020-05-28,1,ASII
672,2020-05-27,1,ASII
673,2020-05-26,1,ASII
674,2020-05-20,0,ASII
675,2020-05-19,1,ASII
676,2020-05-18,1,ASII
677,2020-05-15,0,ASII
678,2020-05-14,0,ASII
679,2020-05-13,0,ASII
680,2020-05-12,1,ASII
681,2020-05-11,1,ASII
682,2020-05-08,1,ASII
683,2020-05-06,0,ASII
684,2020-05-05,0,ASII
685,2020-05-04,0,ASII
686,2020-04-30,0,ASII
687,2020-04-29,1,ASII
688,2020-04-28,1,ASII
689,2020-04-27,0,ASII
690,2020-04-24,1,ASII
691,2020-04-23,1,ASII
692,2020-04-22,0,ASII
693,2020-04-21,0,ASII
694,2020-04-20,1,ASII
695,2020-04-17,0,ASII
696,2020-04-16,0,ASII
697,2020-04-15,1,ASII
698,2020-04-14,0,ASII
699,2020-04-13,1,ASII
700,2020-04-09,0,ASII
701,2020-04-08,0,ASII
702,2020-04-07,1,ASII
703,2020-04-06,0,ASII
704,2020-04-03,1,ASII
705,2020-04-02,0,ASII
706,2020-04-01,0,ASII
707,2020-03-31,0,ASII
708,2020-03-30,1,ASII
709,2020-03-27,1,ASII
710,2020-03-26,0,ASII
711,2020-03-24,0,ASII
712,2020-03-23,0,ASII
713,2020-03-20,0,ASII
714,2020-03-19,0,ASII
715,2020-03-18,0,ASII
716,2020-03-17,0,ASII
717,2020-03-16,0,ASII
718,2020-03-13,0,ASII
719,2020-03-12,0,ASII
720,2021-03-12,1,BBCA
721,2021-03-10,1,BBCA
722,2021-03-09,0,BBCA
723,2021-03-08,1,BBCA
724,2021-03-05,0,BBCA
725,2021-03-04,0,BBCA
726,2021-03-03,0,BBCA
727,2021-03-02,1,BBCA
728,2021-03-01,1,BBCA
729,2021-02-26,0,BBCA
730,2021-02-25,0,BBCA
731,2021-02-24,1,BBCA
732,2021-02-23,0,BBCA
733,2021-02-22,1,BBCA
734,2021-02-19,0,BBCA
735,2021-02-18,0,BBCA
736,2021-02-17,1,BBCA
737,2021-02-16,1,BBCA
738,2021-02-15,0,BBCA
739,2021-02-11,0,BBCA
740,2021-02-10,1,BBCA
741,2021-02-09,0,BBCA
742,2021-02-08,1,BBCA
743,2021-02-05,0,BBCA
744,2021-02-04,0,BBCA
745,2021-02-03,1,BBCA
746,2021-02-02,1,BBCA
747,2021-02-01,0,BBCA
748,2021-01-29,1,BBCA
749,2021-01-28,0,BBCA
750,2021-01-27,0,BBCA
751,2021-01-26,0,BBCA
752,2021-01-25,1,BBCA
753,2021-01-22,0,BBCA
754,2021-01-21,1,BBCA
755,2021-01-20,1,BBCA
756,2021-01-19,1,BBCA
757,2021-01-18,0,BBCA
758,2021-01-15,1,BBCA
759,2021-01-14,0,BBCA
760,2021-01-13,0,BBCA
761,2021-01-12,1,BBCA
762,2021-01-11,1,BBCA
763,2021-01-08,1,BBCA
764,2021-01-07,0,BBCA
765,2021-01-06,1,BBCA
766,2021-01-05,1,BBCA
767,2021-01-04,0,BBCA
768,2020-12-30,1,BBCA
769,2020-12-29,0,BBCA
770,2020-12-28,0,BBCA
771,2020-12-23,1,BBCA
772,2020-12-22,0,BBCA
773,2020-12-21,0,BBCA
774,2020-12-18,0,BBCA
775,2020-12-17,1,BBCA
776,2020-12-16,1,BBCA
777,2020-12-15,1,BBCA
778,2020-12-14,1,BBCA
779,2020-12-11,1,BBCA
780,2020-12-10,0,BBCA
781,2020-12-09,0,BBCA
782,2020-12-08,1,BBCA
783,2020-12-07,1,BBCA
784,2020-12-04,0,BBCA
785,2020-12-03,1,BBCA
786,2020-12-02,1,BBCA
787,2020-12-01,0,BBCA
788,2020-11-30,0,BBCA
789,2020-11-27,1,BBCA
790,2020-11-26,0,BBCA
791,2020-11-25,0,BBCA
792,2020-11-24,0,BBCA
793,2020-11-23,0,BBCA
794,2020-11-20,1,BBCA
795,2020-11-19,0,BBCA
796,2020-11-18,1,BBCA
797,2020-11-17,1,BBCA
798,2020-11-16,1,BBCA
799,2020-11-13,1,BBCA
800,2020-11-12,0,BBCA
801,2020-11-11,1,BBCA
802,2020-11-10,1,BBCA
803,2020-11-09,1,BBCA
804,2020-11-06,1,BBCA
805,2020-11-05,0,BBCA
806,2020-11-04,1,BBCA
807,2020-11-03,1,BBCA
808,2020-11-02,0,BBCA
809,2020-10-27,1,BBCA
810,2020-10-26,0,BBCA
811,2020-10-23,1,BBCA
812,2020-10-22,0,BBCA
813,2020-10-21,0,BBCA
814,2020-10-20,1,BBCA
815,2020-10-19,0,BBCA
816,2020-10-16,0,BBCA
817,2020-10-15,1,BBCA
818,2020-10-14,0,BBCA
819,2020-10-13,0,BBCA
820,2020-10-12,1,BBCA
821,2020-10-09,0,BBCA
822,2020-10-08,1,BBCA
823,2020-10-07,0,BBCA
824,2020-10-06,1,BBCA
825,2020-10-05,0,BBCA
826,2020-10-02,1,BBCA
827,2020-10-01,0,BBCA
828,2020-09-30,0,BBCA
829,2020-09-29,0,BBCA
830,2020-09-28,1,BBCA
831,2020-09-25,1,BBCA
832,2020-09-24,0,BBCA
833,2020-09-23,0,BBCA
834,2020-09-22,0,BBCA
835,2020-09-21,0,BBCA
836,2020-09-18,0,BBCA
837,2020-09-17,0,BBCA
838,2020-09-16,0,BBCA
839,2020-09-15,1,BBCA
840,2020-09-14,1,BBCA
841,2020-09-11,0,BBCA
842,2020-09-10,0,BBCA
843,2020-09-09,1,BBCA
844,2020-09-08,0,BBCA
845,2020-09-07,0,BBCA
846,2020-09-04,0,BBCA
847,2020-09-03,0,BBCA
848,2020-09-02,1,BBCA
849,2020-09-01,0,BBCA
850,2020-08-31,0,BBCA
851,2020-08-28,1,BBCA
852,2020-08-27,0,BBCA
853,2020-08-26,1,BBCA
854,2020-08-25,0,BBCA
855,2020-08-24,0,BBCA
856,2020-08-19,0,BBCA
857,2020-08-18,1,BBCA
858,2020-08-14,1,BBCA
859,2020-08-13,1,BBCA
860,2020-08-12,1,BBCA
861,2020-08-11,0,BBCA
862,2020-08-10,0,BBCA
863,2020-08-07,1,BBCA
864,2020-08-06,1,BBCA
865,2020-08-05,1,BBCA
866,2020-08-04,0,BBCA
867,2020-08-03,1,BBCA
868,2020-07-30,0,BBCA
869,2020-07-29,1,BBCA
870,2020-07-28,1,BBCA
871,2020-07-27,0,BBCA
872,2020-07-24,1,BBCA
873,2020-07-23,0,BBCA
874,2020-07-22,1,BBCA
875,2020-07-21,0,BBCA
876,2020-07-20,0,BBCA
877,2020-07-17,0,BBCA
878,2020-07-16,0,BBCA
879,2020-07-15,1,BBCA
880,2020-07-14,0,BBCA
881,2020-07-13,1,BBCA
882,2020-07-10,0,BBCA
883,2020-07-09,1,BBCA
884,2020-07-08,1,BBCA
885,2020-07-07,1,BBCA
